detailref;entryref;linenumber;linenumbercounter;accmainid;accmainiddesc;accsubid;accsubdesc;amount;debitcreditcode;postingdate;documenttype;doctypedesc;documentnumber;documentreference;entrynumbercounter;documentdate;paymentmethod;detailcomment;erpno;divisionno;enteredby;entereddate;entrynumber;entrycomment
912661;344541;1;1;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000000;00000000000000000000000000000163;1;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000163;00000000000000000000000000000163 numaralý iþlem
912662;344541;2;1;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000000;00000000000000000000000000000163;1;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000163;00000000000000000000000000000163 numaralý iþlem
912663;344541;3;1;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000000;00000000000000000000000000000163;1;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000163;00000000000000000000000000000163 numaralý iþlem
912664;344542;4;2;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000001;00000000000000000000000000000164;2;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000164;00000000000000000000000000000164 numaralý iþlem
912665;344542;5;2;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000001;00000000000000000000000000000164;2;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000164;00000000000000000000000000000164 numaralý iþlem
912666;344542;6;2;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000001;00000000000000000000000000000164;2;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000164;00000000000000000000000000000164 numaralý iþlem
912667;344543;7;3;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000002;00000000000000000000000000000165;3;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000165;00000000000000000000000000000165 numaralý iþlem
912668;344543;8;3;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000002;00000000000000000000000000000165;3;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000165;00000000000000000000000000000165 numaralý iþlem
912669;344543;9;3;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-01;invoice;NULL;000002;00000000000000000000000000000165;3;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000165;00000000000000000000000000000165 numaralý iþlem
912670;344544;10;4;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-01;invoice;NULL;000003;00000000000000000000000000000166;4;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000166;00000000000000000000000000000166 numaralý iþlem
912671;344544;11;4;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-01;invoice;NULL;000003;00000000000000000000000000000166;4;2013-01-01;NULL;;00101;0;H.A.;2013-01-01;00000000000000000000000000000166;00000000000000000000000000000166 numaralý iþlem
